iter	Passed	Remaining
0	0	97
1	1	95
2	2	93
3	3	85
4	4	83
5	5	83
6	6	82
7	6	80
8	7	77
9	8	74
10	9	73
11	9	70
12	10	68
13	11	67
14	11	67
15	12	65
16	13	64
17	13	62
18	14	61
19	14	59
20	15	59
21	16	59
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	21	53
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	25	48
35	26	47
36	27	46
37	27	45
38	28	44
39	29	43
40	30	43
41	30	42
42	31	41
43	32	40
44	32	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	38	33
54	39	32
55	40	31
56	40	30
57	41	29
58	41	29
59	42	28
60	43	27
61	43	26
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	20
72	53	19
73	53	18
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	58	14
80	58	13
81	60	13
82	61	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	71	2
96	72	2
97	73	1
98	74	0
99	75	0
